class,length,DB,early1,early2,early3,mid1,mid2,mid3,late1,late2,late3,stat1,stat2,stat3,pH 5.5 1,pH 5.5 2,pH 5.5 3,pH 6 1,pH 6 2,pH 6 3,pH 7 1,pH 7 2,pH 7 3,pH 7.5 1,pH 7.5 2,pH 7.5 3,pH 8 1,pH 8 2,pH 8 3,4C 1,4C 2,4C 3,13C 1,13C 2,13C 3,20C 1,20C 2,20C 3,NaCl 0.05 1,NaCl 0.05 2,NaCl 0.05 3,NaCl 0.1 1,NaCl 0.1 2,NaCl 0.1 3,NaCl 0.2 1,NaCl 0.2 2,NaCl 0.2 3,MetOH 0.1 1,MetOH 0.1 2,MetOH 0.1 3,MetOH 1 1,MetOH 1 2,MetOH 1 3,TX 0.1 1,TX 0.1 2,TX 0.1 3,TX 1 1,TX 1 2,TX 1 3,TX 5 1,TX 5 2,TX 5 3
PC [32:1],32,1,0.292774628,0.22582722,0.265448252,0.200287587,0.234860118,0.197272926,0.255257467,0.247139724,0.246860099,0.254820306,0.275846198,0.253232198,0.027906291,0.080996374,0.084674127,0.061371258,0.047556079,0.054431197,0.039576482,0.018308602,0.019145111,0.055875569,0.061494282,0.049609117,0.104061849,0.055116536,0.085823589,0.004568968,0.006469708,0.007225555,0.237395528,0.218097809,0.205793279,0.19762025,0.190123303,0.192143584,0.028889237,0.008887141,0.024709565,0.026979935,0.017672954,0.032442084,0.073403227,0.033215023,0.011541723,0.038538158,0.008363876,0.033863286,0.02095109,0.021695056,0.016018905,0.017931979,0.011407522,0.008122485,0.021327589,0.007840302,0,0.005492749,0,0.005503302
PC [32:2],32,2,0.174595557,0.19591088,0.178633603,0.140401928,0.162100355,0.124148741,0.149700416,0.126338561,0.116814229,0.068774979,0.059590404,0.085564175,0.53787645,0.423726733,0.492162246,0.412956679,0.382008578,0.375508869,0.369480284,0.380735342,0.424752299,0.320621394,0.324355421,0.289111022,0.56670124,0.533827245,0.469977129,0.311537413,0.313912208,0.304025973,0.134681434,0.102566839,0.092040068,0.151006936,0.141535981,0.136438126,0.04353373,0.091541559,0.044299949,0.081932669,0.088600667,0.079004464,0.057797989,0.129313894,0.016929321,0.098389627,0.049941665,0.121865392,0.132102007,0.093372592,0.084878106,0.076349863,0.034025956,0.048334163,0.021704337,0.016546358,0,0.025473662,0.032862963,0.038545228
PC [34:1],34,1,0.296655942,0.298069144,0.303505325,0.247143509,0.273933721,0.226110532,0.305050149,0.32155302,0.312302084,0.587826794,0.529850276,0.578536895,0.448799781,0.469063066,0.548947307,0.45693445,0.462207109,0.45510334,0.405181308,0.37480623,0.413204538,0.402667359,0.421986826,0.44098083,0.642930389,0.590786903,0.533553823,0.025441318,0.020691554,0.045072818,0.064136083,0.028618787,0.073067505,0.107256117,0.109169315,0.110132544,0.272640677,0.284581659,0.300987868,0.306439281,0.292747749,0.301673811,0.441944135,0.443896318,0.42275851,0.377388262,0.369112471,0.380352497,0.314490727,0.333549503,0.306337959,0.37994096,0.372373803,0.347188265,0.31212006,0.348715288,0,0.327902276,0.335283422,0.332514614
PC [34:2],34,2,1.27540871,1.296358048,1.335074955,1.321532928,1.343216132,1.253152022,1.342736077,1.368852441,1.335601765,1.43845984,1.374828324,1.431978022,1.962038625,1.783516929,1.89406541,1.859842048,1.826335062,1.774124357,1.623452203,1.759681033,1.903578204,1.908388619,1.731765648,1.701682063,2.036964267,1.978353158,1.850517899,0.941114699,0.929850519,0.912889329,1.087151057,0.831784332,0.853554543,0.979207564,0.986071565,0.980610857,1.300891686,1.376551862,1.336576458,1.46824727,1.440286303,1.477364068,1.949753752,2.280043146,1.768690639,1.367649804,1.255172832,1.361774888,1.072618188,1.030070984,1.032889902,1.41422764,1.328550293,1.416710064,1.360487605,1.422460653,0,1.332386338,1.358202785,1.346744375
PC [34:3],34,3,3.515092486,3.889646802,3.456741062,3.120942668,3.206941779,3.040308363,3.249994588,2.732714885,2.604173792,2.261051877,2.338434553,2.707158488,7.147948834,5.65794533,5.452740055,6.011902373,5.699272039,5.381782671,6.122894284,6.26293586,6.534729108,6.029417567,5.376587623,4.523213484,5.525951781,5.315650718,4.637297524,19.96434101,20.49461861,19.36096188,8.325405224,6.728083275,6.221964264,7.570982175,6.988847953,6.901576493,1.034954498,2.149363775,1.224051534,1.727814829,1.689106454,1.583335695,1.007240661,2.266448335,1.167863996,1.449493484,1.531476996,1.876121919,1.735395973,1.225323932,1.265132872,1.795449076,1.286411764,1.705537756,1.042913893,1.207013822,0,1.359238192,1.47594662,1.597245457
PC [34:4],34,4,0.009593605,0.003608142,0.013776194,0,0.006353629,0.008107996,0.00497779,0,0.021610492,0.0143841,0.003420475,0.009576828,0.085924161,0.166597093,0.052049663,0.082947704,0.052568855,0.049868256,0.009685923,0.00728624,0.010576651,0.049437019,0.038141404,0.067799298,0.023671525,0.031152755,0.064838912,9.062968566,9.503915694,9.106571206,2.379120532,1.949321892,1.673981019,0.700966546,0.646727566,0.640641234,0.006695289,0.005563698,0.079270271,0.014801153,0.005057972,0.011716386,0,0,0,0.022140044,0.012742039,0.044935297,0.039455468,0.022876761,0.009509573,0,0,0.010969798,0.013585886,0.005011061,0,0.006050316,0.005186025,0.003261118
PC [36:2],36,2,7.77841903,7.806013274,8.098461059,9.076612942,8.555487167,8.648926698,9.074875686,9.253672929,8.892519611,12.52628819,12.34521058,12.7438783,7.459818347,8.008964765,8.160960562,8.625318869,8.32311374,8.379353289,8.099083922,8.217935441,8.599902076,8.368182135,8.134035808,8.63491511,9.477910681,9.020971119,8.722600292,4.996974342,5.17910514,5.101734042,7.939279055,5.927665949,6.220126884,7.267489528,7.347447879,7.53437764,8.772142905,8.827627162,9.011890944,9.217130081,9.006721122,9.052809527,8.88255524,8.776674511,8.67346281,8.444511864,8.166845718,8.575179203,6.116836041,6.165310431,6.270142916,8.770298954,8.932935896,9.283599094,9.303801552,9.798326168,0,9.395259371,9.488598002,9.337322472
PC [36:3],36,3,0.028559666,0.03820085,0.036124106,0.034709114,0.039518601,0.021529672,0.025836662,0.022240673,0.032825081,0.01081861,0.030260692,0.034360587,0.110713135,0.151716882,0.102709482,0.067321103,0.067388366,0.066616646,0.025212249,0.011286439,0.02769246,0.031205009,0.054829658,0.051515173,0.026130288,0.039018339,0.044920966,2.608663261,2.628755762,2.462570737,2.402261775,1.808646353,1.828839542,0.749919197,0.755998081,0.749333689,0.046508275,0.031098319,0.06290491,0.053287014,0.060990535,0.060440973,0.091030555,0.031532932,0.013852258,0.015466863,0.011531895,0.023524016,0.006181778,0.006303492,0.002656601,0.006362489,0,0.007529944,0.012758879,0.010084287,0,0.015100057,0.012286289,0.010904888
PC [36:4],36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.160078509,1.209026327,1.130462511,0.493759599,0.372919272,0.366984971,0.023226478,0.025114742,0.040478812,0,0,0,0,0,0,0,0,0,0,0,0.013434335,0.005789129,0.005717433,0,0,0,0,0,0,0,0,0,0
PE [32:1],32,1,0.136588646,0.130729375,0.13726183,0.110179222,0.124939707,0.09841927,0.159295687,0.160281716,0.160687725,0.253761761,0.22970163,0.251725786,0.126758361,0.171997086,0.2244527,0.193786773,0.174073805,0.183557009,0.156705847,0.125974777,0.163931682,0.156419057,0.18177773,0.183532149,0.369367968,0.343598429,0.329890769,0.013162015,0.007488329,0.017576666,0.031819118,0.022006628,0.039866413,0.053551855,0.044215273,0.054495846,0.116083925,0.112581586,0.130699976,0.134666556,0.127397626,0.132628219,0.210303342,0.290136644,0.124175009,0.186791353,0.14007863,0.181274138,0.244070585,0.234562821,0.241346642,0.130691224,0.131523656,0.128092276,0.110732975,0.092532655,0.100872014,0.102478714,0.094305555,0.089665054
